Order,Exam #,Question #,Difficulty Level,Domain,Question Text,Selection Criteria,Selections,Correct Answers & Selections,# of Choices,# of Correct,Occurrence,Success,Fail,Exam Number,Unnamed: 15,Unnamed: 16
98,Exam 2,Question 38,Easy,Instance Configuration,"You need to go back to review a record you just looked at recently.
What is one of the quickest ways to navigate back to the same record?",,Impersonate another user + Expand every application in the All applications tab + Select the record from the History tab + Navigate back to its corresponding list,Select the record from the History tab,4,1,13,0,0,0,,
99,Exam 2,Question 39,Hard,Self-Service & Automation,What are some possible methods of populating a knowledge base with knowledge articles?,Select 3 Answers from the below options.,Importing Microsoft Word files + Integrating with a WebDAV compliant source + Via e-mail to a defined knowledge e-mail address + Creating articles directly in the ServiceNow platform,Importing Microsoft Word files + Integrating with a WebDAV compliant source + Creating articles directly in the ServiceNow platform,4,3,15,0,0,0,,
100,Exam 2,Question 40,Easy,Self-Service & Automation,(Washington DC) What option allows catalogue item requesters to save an uncompleted form so they can access and submit it at another time?,,Save Form + Add to Favorite + Save as Draft + Discard Draft,Save as Draft,4,1,14,0,0,0,,
101,Exam 2,Question 41,Easy,Configuring Applications for Collaboration,What type of Visual Task Board CANNOT be built from a record list?,,Freeform + Guided + Flexible + Data Driven,Freeform,4,1,13,0,0,0,,
102,Exam 2,Question 42,Hard,Data Migration and Integration,What can be set up to auto-assign all new Hardware category Incidents to a particular group?,Select 3 Answers from the below options.,Data lookup rules + Access Controls + Assignment rules + UI Actions + Business rules,Data lookup rules + Assignment rules + Business rules,5,3,10,0,0,0,,
103,Exam 2,Question 43,Medium,Self-Service & Automation,What framework in Flow Designer helps you select the next component in your flow from a list of AI-generated recommendations?,,Flow Diagramming + Now Assist + Generative AI Controller + AI Search + Predictive Intelligence,Now Assist,5,1,12,0,0,0,,
104,Exam 2,Question 44,Easy,Self-Service & Automation,"From the end user's perspective, how are the products and services in the service catalogue organised?",,Tasks and Subtasks + Tickets and Requests + Categories and Subcategories + Incidents and Problems,Categories and Subcategories,4,1,19,0,0,0,,
105,Exam 2,Question 45,Easy,Data Migration and Integration,Which ServiceNow product enables you to integrate with 3rd party applications without scripting?,,Integration Hub + Visual Task Boards + Service Portal + Flow Designer,Integration Hub,4,1,7,0,0,0,,
106,Exam 2,Question 46,Easy,Self-Service & Automation,What are the two available knowledge article types?,Select 2 Answers from the below options.,Plain Text + HTML + Wiki + CSS,HTML + Wiki,4,2,11,0,0,0,,
107,Exam 2,Question 47,Hard,Platform Overview and Navigation,"A dark theme or mode is available for some of the Now Platform capabilities in the Next Experience UI to allow users to fine-tune their experience and help alleviate their eye strain.
Which of the following products can support the dark theme?",Select 3 Answers from the below options.,Assessments and Surveys + Knowledge Management + Natural Language Understanding + AI Search + Dashboards and Reports,Assessments and Surveys + Knowledge Management + Dashboards and Reports,5,3,13,0,0,0,,
108,Exam 2,Question 48,Medium,Configuring Applications for Collaboration,In which section of the email notification configuration can you make the notification subscribable by users?,,What it will contain + When to send + Who will receive + What Digest will contain,Who will receive,4,1,19,0,0,0,,
109,Exam 2,Question 49,Easy,Self-Service & Automation,How do you navigate the Now Platform to see a list of catalogue items?,,Self-Service > Service Catalog + Service Catalog > Catalog Definitions > Maintain Items + Service Catalog > Open Records > Items + Item Designer > Administration > All Items,Service Catalog > Catalog Definitions > Maintain Items,4,1,14,0,0,0,,
110,Exam 2,Question 50,Easy,Configuring Applications for Collaboration,What form action updates an existing record and keeps the form open?,,Update + Save + Insert + Insert and Stay,Save,4,1,14,0,0,1,,
111,Exam 2,Question 51,Hard,Instance Configuration,What operations can you do on the homepages with the Homepage deprecation help tool?,Select 3 Answers from the below options.,Create a global homepage + Retire a homepage + Restore retired homepages as dashboards + Duplicate a homepage + Edit a homepage + Convert a homepage,Retire a homepage + Restore retired homepages as dashboards + Convert a homepage,6,3,14,0,0,0,,
112,Exam 2,Question 52,Easy,Data Migration and Integration,What is the primary language used for scripting in ServiceNow?,,Jelly + JavaScript + Java + AngularJS,JavaScript,4,1,16,0,0,0,,
113,Exam 2,Question 53,Easy,Database Management,What is Configuration Management Database (CMDB)?,,A database used to store configuration records throughout their lifecycle + A set of tools and databases that are used to manage an organizations configuration data + A table that contains a specific type or group of CIs that share common attributes + Components of an infrastructure required to deliver a product or service,A database used to store configuration records throughout their lifecycle,4,1,15,0,0,0,,
114,Exam 2,Question 54,Easy,Instance Configuration,What are the three main screen elements of the Now Platform User Interface?,Select 3 Answers from the below options.,User menu + System settings + Banner frame + Application navigator + Content frame,Banner frame + Application navigator + Content frame,5,3,15,0,0,0,,
115,Exam 2,Question 55,Medium,Self-Service & Automation,You can add knowledge article URLs to your sitemap to improve content indexing by public search engines. What do you configure to achieve this for the Knowledge Portal?,,Contextual Search - Service Portal + Connect Service Portal Widgets + Service Portal Analytics + Next Experience UI for knowledge articles + Sitemap Generator record,Sitemap Generator record,5,1,13,0,0,0,,
116,Exam 2,Question 56,Easy,Configuring Applications for Collaboration,Your director has requested you to generate a snapshot of your groups' monthly resolved incidents and automatically email it to the executive group on the first day of each month. What ServiceNow capability do you use?,,Report Statistics + Published Reports + Interactive Filters + Self-Service Analytics + Data Collector + Scheduled Reports,Scheduled Reports,6,1,9,0,0,0,,
117,Exam 2,Question 57,Medium,Instance Configuration,Which modules can you use to create a new table?,Select 2 Answers from the below options.,Tables + Import Tables + Tables & Columns + Create New,Tables + Tables & Columns,4,2,18,0,0,1,,
118,Exam 2,Question 58,Medium,Platform Overview and Navigation,What protects applications by identifying and restricting access to available files and data?,,Delegated Development + Access Control + Scope + The admin Role,Scope,4,1,13,0,0,0,,
119,Exam 2,Question 59,Easy,Configuring Applications for Collaboration,"(Washington DC) Core UI Reporting functionality is deprecated for instances migrated to the Platform Analytics experience.
What product is replacing the ServiceNow reporting?",,Process Mining + Data visualizations + User Experience Analytics + Performance Analytics widgets,Data visualizations,4,1,11,0,0,0,,
120,Exam 2,Question 60,Easy,Configuring Applications for Collaboration,Which feature allows users to manage notifications they receive about various activities occurring on the platform?,,Platform Chat + ServiceNow Mobile + Subscriptions + Now on Now,Subscriptions,4,1,15,0,0,0,,
121,Exam 3,Question 1,Easy,Instance Configuration,"Administrators and application developers can create tables that do not exist in the base system to store application data.
What are these tables called?",,Core tables + Remote tables + Child tables + Extended tables + Custom tables + Target tables + Related tables,Custom tables,7,1,20,0,0,1,,
122,Exam 3,Question 2,Easy,Database Management,What is a CI?,Select 3 Answers from the below options.,"Configuration Management Database + Tangible (e.g. hardware, software, servers) entities + Configuration Item + Intangible (e.g. business services, email) entities + configuration_admin role","Tangible (e.g. hardware, software, servers) entities + Configuration Item + Intangible (e.g. business services, email) entities",5,3,14,0,0,0,,
123,Exam 3,Question 3,Easy,Instance Configuration,Which icon allows you to access resources such as ServiceNow documentation and user guide?,,Gear icon + Question mark icon + Book icon + Funnel icon + Magnifier icon + Lock icon,Question mark icon,6,1,8,0,0,0,,
124,Exam 3,Question 4,Medium,Database Management,What types of permissions can be configured in an access control rule?,Select 3 Answers from the below options.,"Roles + ""A script that sets the answer variable to true or false"" + Conditions + Users + Groups","Roles + ""A script that sets the answer variable to true or false"" + Conditions",5,3,15,0,0,0,,
125,Exam 3,Question 5,Easy,Platform Overview and Navigation,"(Washington DC) Where can you find information about the new and important features for applications in your instance, including features from the latest ServiceNow release(s)?",,Help Center + Customer Success Center + Resource Center + Release Center,Help Center,4,1,9,0,0,0,,
126,Exam 3,Question 6,Easy,Self-Service & Automation,Where do you define user conditions to determine who can access catalogue items?,,Catalogue UI Policies catalog_ui_policy + Service Catalogue Configuration / Properties system_properties_servicecatalog_ui + Catalogue Client Scripts catalog_script_client + User criteria user_criteria,User criteria user_criteria,4,1,13,0,0,1,,
127,Exam 3,Question 7,Medium,Data Migration and Integration,Which of the following are true statements about platform scripting?,Select 3 Answers from the below options.,UI Actions can execute both client-side and server-side. + Client scripts can only execute on the browser but not when a database lookup is needed. + Data Policy can be run as a UI policy client-side. + Business rules are not real-time and do not monitor fields on a form.,UI Actions can execute both client-side and server-side. + Data Policy can be run as a UI policy client-side. + Business rules are not real-time and do not monitor fields on a form.,4,3,9,0,0,0,,
128,Exam 3,Question 8,Medium,Configuring Applications for Collaboration,Which form view is displayed when clicking on the reference icon of a field in a form?,,Self Service + Service Portal + Sys_popup + VTB,Sys_popup,4,1,15,0,0,0,,
129,Exam 3,Question 9,Medium,Self-Service & Automation,What aspects of the Service Catalog application can a Catalog Administrator manage?,Select 3 Answers from the below options.,Business Rules + Catalog Item + Scripting functions + Categories + Catalogs,Catalog Item + Categories + Catalogs,5,3,13,0,0,1,,
130,Exam 3,Question 10,Medium,Data Migration and Integration,Where do the ServiceNow client-side scripts execute?,,ServiceNow Database + Internet + Web Browser + Application Server,Web Browser,4,1,11,0,0,0,,
131,Exam 3,Question 11,Medium,Data Migration and Integration,What integration with Catalog Builder enables you to translate the content of the catalogue items on the Catalog Builder dashboard?,,Translation Framework + Internationalisation Framework + Globalisation Framework + Localization Framework,Localization Framework,4,1,15,0,0,0,,
132,Exam 3,Question 12,Hard,Configuring Applications for Collaboration,What dictionary attribute do you use to list all the columns you want visible on a reference field's drop-down list?,,ref_ac_columns + ref_ac_columns_search + ref_ac_order_by + ref_auto_completer,ref_ac_columns,4,1,10,0,0,0,,
133,Exam 3,Question 13,Hard,Instance Configuration,Which of the following are the accessibility enhancements in the Service Portal application?,Select 3 Answers from the below options.,Content can be zoomed up indefinitely without loss of functionality. + The screen reader speaks new content without disturbing the current flow. + Text-to-speech labels that you hear match the labels you see on the screen. + Text size can be increased to 200% through your browser settings.,The screen reader speaks new content without disturbing the current flow. + Text-to-speech labels that you hear match the labels you see on the screen. + Text size can be increased to 200% through your browser settings.,4,3,10,0,0,0,,
134,Exam 3,Question 14,Medium,Self-Service & Automation,What are the benefits of Flow Designer?,Select 3 Answers from the below options.,Provides multiple environments to build and visualise business processes + Promotes process automation by enabling subject matter experts to develop and share reusable actions + Allows extending flow content by replacing workflows + Provides configuration and runtime information to create operate and troubleshoot flows from a single interface + Provides natural-language-descriptions of flow logic,Promotes process automation by enabling subject matter experts to develop and share reusable actions + Provides configuration and runtime information to create operate and troubleshoot flows from a single interface + Provides natural-language-descriptions of flow logic,5,3,10,0,0,0,,
135,Exam 3,Question 15,Easy,Database Management,What model/standard across applications helps track life cycle stages and stage statuses for CIs effectively?,,Product Catalogue Data Model + CMDB Data Model + Universal Task data model + Common Service Data Model,Common Service Data Model,4,1,15,0,0,1,,
136,Exam 3,Question 16,Easy,Configuring Applications for Collaboration,What is the recommended way to share a report?,,Email an attachment + Download as PDF + Publish to an instance URL + Select Share,Select Share,4,1,14,0,0,0,,
137,Exam 3,Question 17,Hard,Database Management,An Access Control List (ACL) rule only grants users access to an object if they meet all of the following permissions required by the matching ACL rule.,Select 3 Answers from the below options.,Either the matching table level or the field level for the Record ACL rules must evaluate to true. + The condition must evaluate to true. + The script must evaluate to true or return an answer variable with the value of true. + The user must have one of the roles in the required roles list. If the list is empty this condition evaluates to true.,The condition must evaluate to true. + The script must evaluate to true or return an answer variable with the value of true. + The user must have one of the roles in the required roles list. If the list is empty this condition evaluates to true.,4,3,16,0,0,0,,
138,Exam 3,Question 18,Easy,Configuring Applications for Collaboration,What wildcard character is used to search for values that contain a search term in a list?,,% (Per cent sign) + ! (Exclamation mark) + = (Equal sign) + * (Asterisk),* (Asterisk),4,1,11,0,0,0,,
139,Exam 3,Question 19,Medium,Self-Service & Automation,Which knowledge feedback option CANNOT be disabled at the knowledge base level?,,All of them can be disabled. + Marking as helpful + Flagging + Commenting + Rating,All of them can be disabled.,5,1,13,0,0,0,,
140,Exam 3,Question 20,Medium,Database Management,What are the different ways for ServiceNow tables to be related to each other?,Select 4 Answers from the below options.,One-to-One + Many-to-Many + Database Views + Extensions + Zero-to-Many + One-to-Many,Many-to-Many + Database Views + Extensions + One-to-Many,6,4,7,0,0,0,,
141,Exam 3,Question 21,Easy,Configuring Applications for Collaboration,Which of the following are ways to collaborate with team members on Tasks?,Select 4 Answers from the below options.,Work notes + Additional comments + User presence + Activity streams + Connect chat / Sidebar,Work notes + User presence + Activity streams + Connect chat / Sidebar,5,4,15,0,0,0,,
142,Exam 3,Question 22,Medium,Database Management,"(Washington DC) You can access CMDB Data Manager from CMDB Workspace, built using UI Builder components.
What can you do using the CMDB Data Manager?",Select 3 Answers from the below options.,Perform regular data backups for the CMDB + Review and approve or reject assigned tasks + Administer and manage policies and tasks + Monitor the overall health and performance of the CMDB + Manage retirement definitions and exclusion lists + Create new Configuration Item (CI) classes in the CMDB,Review and approve or reject assigned tasks + Administer and manage policies and tasks + Manage retirement definitions and exclusion lists,6,3,10,0,0,0,,
143,Exam 3,Question 23,Easy,Data Migration and Integration,What is granted to non-administrators for them to develop applications?,,The developer Role + Access Control + Delegated Development + The itil Role,Delegated Development,4,1,12,0,0,0,,
144,Exam 3,Question 24,Easy,Self-Service & Automation,What variable type do you use to allow requesting a catalogue item on behalf of another user or multiple users?,,List Collector + Lookup Select Box + Single Line Text + Requested For,Requested For,4,1,9,0,0,0,,
145,Exam 3,Question 25,Easy,Self-Service & Automation,What is the best way to share a knowledge article with another user?,,A permalink + Taking a screenshot + Copying and pasting the text + Sharing the keywords,A permalink,4,1,18,0,0,0,,
146,Exam 3,Question 26,Medium,Platform Overview and Navigation,Which of the following roles CANNOT be delegated?,Select 2 Answers from the below options.,user_admin + admin + itil + role_delegator,admin + role_delegator,4,2,13,0,0,0,,
147,Exam 3,Question 27,Easy,Platform Overview and Navigation,"Multiple Choice, Single Line Text, and Select Box are what type of elements in ServiceNow?",,Variable Types + Related Lists + Request Types + Order Guides,Variable Types,4,1,15,0,0,0,,
148,Exam 3,Question 28,Easy,Database Management,What is a definition of a transform map in ServiceNow?,,A map to determine relationships between fields displayed in an Import Set to fields in an existing table + A map used to add data to encrypted fields + A map used to trigger Business Rules before the data is queued in the outbound Web Service + A map used to store the history of the incident records,A map to determine relationships between fields displayed in an Import Set to fields in an existing table,4,1,16,0,0,0,,
149,Exam 3,Question 29,Medium,Instance Configuration,What results are displayed on the menu when searching for the keyword 'service' in the Filter field?,Select 2 Answers from the below options.,"""Any module with a name containing service."" + ""Only applications sections and modules with names containing service."" + ""All modules and sections within the Service Desk application."" + ""Only applications with a name containing service.""","""Any module with a name containing service."" + ""All modules and sections within the Service Desk application.""",4,2,11,0,0,0,,
150,Exam 3,Question 30,Easy,Configuring Applications for Collaboration,(Washington DC) What are the main ways to create a Platform Analytics dashboard?,Select 2 Answers from the below options.,Technical editor / UI Builder + PA widget forms + Report Designer + In-line editor,Technical editor / UI Builder + In-line editor,4,2,14,0,0,0,,
151,Exam 3,Question 31,Easy,Self-Service & Automation,Which of the following is valid regarding Flow Designer?,Select 3 Answers from the below options.,Saves time + Requires scripting experience + Integrates with third-party systems + Provides automation tools,Saves time + Integrates with third-party systems + Provides automation tools,4,3,16,0,0,0,,
152,Exam 3,Question 32,Medium,Database Management,Which of the following defines an application service in the best way?,,An application service monitors services in an organisation. + It is a set of interconnected applications and hosts configured to offer a service to an organisation. + It supports multiple configuration strategies. + It provides standard fields and values for tracking life-cycle stages.,It is a set of interconnected applications and hosts configured to offer a service to an organisation.,4,1,12,0,0,0,,
153,Exam 3,Question 33,Medium,Configuring Applications for Collaboration,What can you include in the Email Client Template so you can reuse them when replying to or forwarding emails?,,Email Properties + Attachments + Notification Filters + Outbound Actions,Attachments,4,1,14,0,0,0,,
154,Exam 3,Question 34,Hard,Configuring Applications for Collaboration,Where can you organise form sections and related lists into tabs in classic forms?,,User Menu > Preferences > Display + User Menu > Preferences > Accessibility + All > System UI > Related lists + All > System UI > Forms,User Menu > Preferences > Display,4,1,14,0,0,0,,
155,Exam 3,Question 35,Easy,Configuring Applications for Collaboration,What field type on a form has a clickable icon that provides a preview of the associated record?,,Reference + Preview + Database + Information + Lookup + Function + Pop-up + Clickthrough,Reference,8,1,14,0,0,0,,
156,Exam 3,Question 36,Easy,Configuring Applications for Collaboration,What report type requires access to the data to view it?,,Bar chart + Pie chart + List report + Donut chart,List report,4,1,13,0,0,1,,
157,Exam 3,Question 37,Hard,Database Management,"What are the different levels of ServiceNow security before an end-user can perform CRUD (Create, Read, Update, Delete) operations on a table?",Select 3 Answers from the below options.,User Authentication + Anonymous Access + Database Access + 3rd Party Application Security + Application and Modules Access,User Authentication + Database Access + Application and Modules Access,5,3,10,0,0,0,,
158,Exam 3,Question 38,Easy,Configuring Applications for Collaboration,What allows you to see more information on the same screen real estate when using Visual Task Boards?,,Compact Cards + Card Groups + Card Thumbnails + Minimise Tasks,Compact Cards,4,1,9,0,0,0,,
159,Exam 3,Question 39,Easy,Configuring Applications for Collaboration,Which of the following tabs are used to configure an email notification?,Select 3 Answers from the below options.,Which email template + Who will receive + What it will contain + What the subject is + When to send,Who will receive + What it will contain + When to send,5,3,8,0,0,0,,
160,Exam 3,Question 40,Easy,Self-Service & Automation,How do end-users typically access the service catalogue when using the Service Portal?,,Under Request Something + In the Knowledge Base + In the Community + Under System Status,Under Request Something,4,1,5,0,0,0,,
161,Exam 3,Question 41,Medium,Configuring Applications for Collaboration,"What phase of the Report Designer allows you to choose the title, colours and chart properties?",,Type + Style + Configure + Data,Style,4,1,9,0,0,0,,
162,Exam 3,Question 42,Medium,Database Management,What are the database views for incident management in the base system?,Select 3 Answers from the below options.,incident_time_worked + incident_sla + incident_state + incident_metric,incident_time_worked + incident_sla + incident_metric,4,3,14,0,0,0,,
163,Exam 3,Question 43,Medium,Self-Service & Automation,"What type of Flow Designer Trigger is required to look up a record, update a field value and request approval?",,Role-based + Application-based + Record-based + Schedule-based,Record-based,4,1,12,0,0,0,,
164,Exam 3,Question 44,Hard,Database Management,Which of the following statements are true about import sets?,Select 3 Answers from the below options.,Import Sets cannot add data to encrypted fields. + Transform map is the conversion of data from an import set table to another table. + You can import data from several different file formats or external data sources. + The Import Set Deleter scheduled job cleans up all import set data every day at midnight. + Creating an extremely large import set can cause delays and system outages.,Import Sets cannot add data to encrypted fields. + You can import data from several different file formats or external data sources. + Creating an extremely large import set can cause delays and system outages.,5,3,16,0,0,0,,
165,Exam 3,Question 45,Medium,Database Management,What IT challenges can be solved with the CMDB?,Select 3 Answers from the below options.,Make sense of data to drive decisions and services. + Regularly maintain complex data for accuracy. + Store well-defined relationships. + Consolidate disparate Configuration Item (CI) data into a single Configuration Management Database. + Capture known Configuration Items (CIs).,Make sense of data to drive decisions and services. + Regularly maintain complex data for accuracy. + Consolidate disparate Configuration Item (CI) data into a single Configuration Management Database.,5,3,15,0,0,1,,
166,Exam 3,Question 46,Easy,Configuring Applications for Collaboration,What allows users to see a time-stamped history of all actions taken within a record?,,Form Activity + Form History + Favourites + Activity Stream,Activity Stream,4,1,13,0,0,0,,
167,Exam 3,Question 47,Easy,Instance Configuration,What are some of the benefits often recognised by branding your instance?,Select 3 Answers from the below options.,Accelerate adoption rates + Create a shared identity + Gain user trust + Reduce service desk calls + Share comprehensive assignment rules,Accelerate adoption rates + Create a shared identity + Gain user trust,5,3,13,0,0,0,,
168,Exam 3,Question 48,Easy,Self-Service & Automation,Where can you view how a catalogue item appears in a conversational interface and modify the item if required?,,In Workspace + In AI Search + In Service Portal + In Catalog Builder,In Catalog Builder,4,1,7,0,0,0,,
169,Exam 3,Question 49,Medium,Data Migration and Integration,What field attributes can a UI policy action change on a form?,Select 3 Answers from the below options.,Prevent cell editing + Change colour + Read-only + Mandatory + Visible/hidden,Read-only + Mandatory + Visible/hidden,5,3,11,0,0,0,,
170,Exam 3,Question 50,Easy,Self-Service & Automation,What feature creates reusable components to run everyday tasks in Virtual Agent conversations?,,Virtual transfer + Chat re-route + Agent transfer + Topic blocks,Topic blocks,4,1,8,0,0,0,,
171,Exam 3,Question 51,Hard,Instance Configuration,What plugin must be activated to onboard a large volume of external users to a custom application in your instance?,,User Registration Request (com.snc.user_registration) + External User Registration (sn_ext_usr_reg) + Integrations - External Authentication Framework (com.glide.external.app) + External User Self-Registration (com.snc.external_user_self_registration),External User Self-Registration (com.snc.external_user_self_registration),4,1,9,0,0,0,,
172,Exam 3,Question 52,Hard,Database Management,What scores are found on the CMDB health dashboard?,Select 3 Answers from the below options.,Completeness + Correctness + Connectedness + Compliance,Completeness + Correctness + Compliance,4,3,9,0,0,0,,
173,Exam 3,Question 53,Hard,Data Migration and Integration,Which of the following are captured in an update set?,Select 3 Answers from the below options.,Business Rules + New Data Records + Report Definitions + Modified CIs + Published Flows,Business Rules + Report Definitions + Published Flows,5,3,6,0,0,0,,
174,Exam 3,Question 54,Easy,Database Management,Which table does the Change Request [change_request] extend?,,Problem problem + Incident incident + Task task + Request sc_request,Task task,4,1,15,0,0,0,,
175,Exam 3,Question 55,Hard,Database Management,"What application enables you to discover Personally Identifiable Information (PII) within the ServiceNow instance and classify, report, or act on the PII?",,Data Filtration + Data Privacy + Data Classification + Data Discovery + Data Separation,Data Discovery,7,1,14,0,0,0,,
176,Exam 3,Question 56,Easy,Instance Configuration,What do you select to personalise the system settings of the Now Platform user interface?,,Magnifying glass icon + Logo + Gear icon + Question mark icon,Gear icon,4,1,11,0,0,0,,
177,Exam 3,Question 57,Medium,Configuring Applications for Collaboration,What role is required to toggle the template bar and apply global templates to the forms?,,template_admin + form_admin + template_editor + No special role,No special role,4,1,11,0,0,0,,
178,Exam 3,Question 58,Medium,Self-Service & Automation,What sorting options are available when searching for a knowledge article on the Knowledge portal?,Select 4 Answers from the below options.,Alphabetical + Newest + Category + Views + Relevancy + Rating,Alphabetical + Newest + Views + Relevancy,6,4,14,0,0,0,,
179,Exam 3,Question 59,Easy,Platform Overview and Navigation,"What feature facilitates synchronous collaboration within one record and allows you to see who is online, their current status, and what they view or edit in real time?",,User profile + Work note list + User presence + Watch list + Collaborators,User presence,5,1,12,0,0,1,,
180,Exam 3,Question 60,Hard,Database Management,What coalesce configuration in the import process treats all imported rows as new records and does not update existing records?,,Single-field coalesce + Conditional coalesce + Multi-field coalesce + No coalesce,No coalesce,4,1,12,0,0,1,,
181,Exam 4,Question 1,Medium,Self-Service & Automation,Which of the following are true statements about workflows?,Select 3 Answers from the below options.,Workflows are often published during workflow development. + Multiple versions of a workflow can exist at the same time. + The published workflow executes for a developer who has checked out the workflow. + When a workflow is invoked the current workflow definition is loaded into the workflow context. + Only one published version of a workflow exists in runtime for new contexts.,Multiple versions of a workflow can exist at the same time. + When a workflow is invoked the current workflow definition is loaded into the workflow context. + Only one published version of a workflow exists in runtime for new contexts.,5,3,11,0,0,0,,
182,Exam 4,Question 2,Easy,Self-Service & Automation,Where in the Flow Designer can you find information about the actions you add to a flow?,,Connect Support + Help Panel + Flow Assistant + Virtual Agent Help,Help Panel,4,1,12,0,0,0,,
183,Exam 4,Question 3,Hard,Instance Configuration,"You can add human-readable keywords to the URLs of portal pages to improve search engine optimisation (SEO) and click-through rates and help users understand what to expect on the page.
What can be added as human-readable keywords to help with SEO?",Select 2 Answers from the below options.,Page ID + Page parameters + Sys ID + Dynamic page variables + Static content,Dynamic page variables + Static content,5,2,12,0,0,0,,
184,Exam 4,Question 4,Easy,Configuring Applications for Collaboration,What does a column in the list interface correspond to in a ServiceNow instance?,,An attribute + A record + A field + A reference + An index + A table,A field,6,1,17,0,0,0,,
185,Exam 4,Question 5,Hard,Database Management,"Cascade-cleanup operations apply when you enable the dependent CIs management feature. However, the recommendation is to apply the same operations to orphan-dependent CIs that existed in the CMDB before enabling this feature.
What are the reasons for this recommendation?",Select 2 Answers from the below options.,To avoid creating a scheduled job that runs nightly to clean up dependent CIs. + To improve the overall performance and data integrity of the CMDB. + To avoid manually approving the CMDB Data Manager tasks that dependent CIs management generates. + Because Cascade-cleanup operations apply only from when the dependent CIs management is enabled. + Because Cascade-cleanup of orphan-dependent CIs across the CMDB might take several days to complete. + To ensure that the cmdb.dependent.ci.cascade.op.enabled system property is set to false.,To improve the overall performance and data integrity of the CMDB. + Because Cascade-cleanup operations apply only from when the dependent CIs management is enabled.,6,2,9,0,0,0,,
186,Exam 4,Question 6,Medium,Instance Configuration,Which of the following is a way to add an application to a ServiceNow instance for development?,Select 2 Answers from the below options.,Use the Guided App Creator to create an application. + Use Application Cross-Scope Access to load an application. + Use the Create Application module to create an application. + Use Studio to import an application from source control. + Use the ServiceNow Store to load an application.,Use the Guided App Creator to create an application. + Use Studio to import an application from source control.,5,2,13,0,0,0,,
187,Exam 4,Question 7,Easy,Database Management,Which of the following core table is both a base and a parent table?,,Task task + Visual Task Board vtb_board + Configuration Item cmdb_ci + Knowledge Base kb_knowledge_base + Incident incident,Task task,5,1,14,0,0,0,,
188,Exam 4,Question 8,Easy,Self-Service & Automation,"A fulfiller has completed all tasks for one of the items in a request, and the tasks are set to Closed.
What happens in the workflow?",,The requested item moves to the next phase of fulfilment. + The requested item is automatically set to Closed Complete. + The requester is notified that the request is Complete. + The request is automatically set to Closed Complete.,The requested item is automatically set to Closed Complete.,4,1,9,0,0,0,,
189,Exam 4,Question 9,Medium,Database Management,What minimum role is required to subscribe to or unsubscribe from a Configuration Item?,,itil + ecmdb_admin + itil_admin + cmdb_read,cmdb_read,4,1,10,0,0,0,,
190,Exam 4,Question 10,Hard,Data Migration and Integration,What value does the Condition field in a Business Rule return if the field is blank?,,"FALSE + undefined + """" + NULL + TRUE",TRUE,5,1,8,0,0,0,,
191,Exam 4,Question 11,Medium,Configuring Applications for Collaboration,What application enables you to understand user web and mobile experiences by visualising your metrics and interactions through an interactive dashboard?,,Performance Analytics + Predictive Intelligence + User Experience Analytics + Self-Service Analytics,User Experience Analytics,4,1,12,0,0,0,,
192,Exam 4,Question 12,Medium,Self-Service & Automation,What is the minimum required component in each flow in Flow Designer?,Select 2 Answers from the below options.,Trigger + Action + Flow Logic + Subflow,Trigger + Action,4,2,13,0,0,1,,
193,Exam 4,Question 13,Medium,Database Management,Which of the following is an example of a CI Class switch?,,A CI from the Windows Server cmdb_ci_win_server class is switched off. + A CI is reclassified from the Linux Server cmdb_ci_linux_server class to the Windows Server cmdb_ci_win_server class. + A Server record that was upgraded from the Server cmdb_ci_server class to the Windows Server cmdb_ci_win_server class. + A CI is moved from the Windows Server cmdb_ci_win_server class to  the Server cmdb_ci_server class.,A CI is reclassified from the Linux Server cmdb_ci_linux_server class to the Windows Server cmdb_ci_win_server class.,4,1,15,0,0,1,,
194,Exam 4,Question 14,Hard,Configuring Applications for Collaboration,Which option in the Email Client Template allows you to include attachments from emails while replying to or forwarding emails?,,"glide.email.inbound.image_sys_attachment.filter.action  system property + Attachment Send Action + Email Attachment Conditions + ""Attachment is true condition"" + Include attachment from email",Include attachment from email,5,1,16,0,0,1,,
195,Exam 4,Question 15,Medium,Self-Service & Automation,What role is required to create and edit Access Controls?,,elevated_security + security_admin + admin + security + elevated_admin,security_admin,5,1,8,0,0,0,,
196,Exam 4,Question 21,Medium,Self-Service & Automation,"Each time a knowledge article is viewed, a record is added to which table?",,Knowledge kb_knowledge + Knowledge Feedback kb_feedback + Knowledge Search Log ts_query_kb + Knowledge Use kb_use,Knowledge Use kb_use,4,1,12,0,0,0,,
197,Exam 4,Question 22,Easy,Configuring Applications for Collaboration,Which of the following are the notification preferences that users can manage?,Select 4 Answers from the below options.,"Apply a schedule to a notification. + Disable receipt of specific notifications. + Enable/disable notifications. + Include/exclude attachments in notifications. + Add a new channel (email address, mobile device for push notifications, SMS, voice).","Apply a schedule to a notification. + Disable receipt of specific notifications. + Enable/disable notifications. + Add a new channel (email address, mobile device for push notifications, SMS, voice).",5,4,10,0,0,0,,
198,Exam 4,Question 23,Medium,Database Management,Which of the following operation is a record-type access control list that restricts access to reports based on a role?,,report_access + report_on + report_admin + report_view,report_view,4,1,10,0,0,0,,
